,place_name,rating,review
10,Custom House Visitor Centre,4.5,"Inexpensive and informative but also just not a very visually or materially impressive self-guided tour An absolute gem on Dublin's past that I didn't know exist before actually walking into it. The exhibition relies on text and a few well made videos with a handful of artifacts, so you'll want to join the guided tour for a full (and often private!) storytelling experience. So much to cover the tour can go far beyond one hour. Tony is a brilliant guide, sharing with us the history with a bit of personal stories. A great place to learn about the recent history of Dublin and Ireland that leads up to the free state. Heading to EPIC and just happened to pop in. Inexpensive tickets, short tour, but invaluable to understanding the Revolutionary experience. Highly recommend! Thirteen most significant ""Rivers of Ireland"" emblazon the external architecture of The Custom House built in 1687 yet today only the Munster Blackwater has a sustainable salmon run. Just back from a guided tour with out Autusm class. Guide Harry absolutely amazing and his presentation had our students enthralled.  Great day and experience.  Thanks to all Just had a mesmerizing experience starting at The Customs House Visitors Centre thoroughly enhanced by the wonderful Dublin Discovery Trails app which allowed me to witness the burning of the Customs House in 1921 through virtual reality. Dublin Discovery Trails helps to guide you on a journey of discovery to some of the City's most loved sites and attractions, enabling you to uncover compelling stories of Dublin's culture, heritage and history via themed GPS- enabled walking trails and augmented reality tours. 10 of Dublin's most famous statues have been given the gift of the gab! Pass a Talking Statue, swipe your smartphone on a nearby plaque and presto, get a call back from James Joyce (written by Roddy Doyle and voiced by Gabriel Byrne), Oscar Wilde (written by John Banville and voiced by Andrew Scott), or Fidelity on the O'Connell Monument (written by Paula Meehan and voiced by Ruth Negga)! Each has a story to tell. Together, they tell Dublin's story. From Brendan Gleeson, Eoin Colfer to Brendan O'Carroll and Brenda Fricker, the array of Irish talent is there for all to hear on your very own personal phonecall and piece of Dublin History. A thoroughly compelling use of today's technology to remind us of our cultural heritage. Great spot to get a precis on the building of the Custom House and it's role in Irish history.

Particularly recommend the short movie on the burning of the building during the War of Independence Just after enjoying an incredible tour with the wonderful Yvonne. 100% worth a visit to get some insight and knowledge on such an important and significant part of the Dublin skyline."
11,Dalton's Musical History Tour,5.0,"A superb personalized ballad, enchanted and in song, which changes the spirit of a classic visit. Let yourself walk with Fiona. Mary Poppins 2024. I wish her great success.

A superb personalized ballad, enchanted and in song, which changes the spirit of a classic visit. Let yourself walk with Fiona. Mary Poppins 2024. I wish her great success. We arranged to experience the tour as a group, and it was a lot of fun. Fiona was energetic and easy to follow (despite having to shout over occasional traffic), has a fantastic singing voice, and had a great set of historic points to talk about. She even got us to sing along for some of them - we didn't know all of the songs but singing along to the ones we did was tons of fun. Highly recommended! nan nan"
12,DoDublin Bus Tours,5.0,"We were so pleased we chose to do the Do Dublin tour!!  Our bus driver, John, was an absolute legend!  Very informative and extremely funny!  Great way to get about and learn about the landmarks and history of the city! Probably the best hop on hop off tour we have ever done, commentary can unusually be heard so clearly through the loud speakers in the bus, no need for earphones, drivers had a great sense of humour
Definitely well worth the 30 euros Best bus tour!! Jer was a legend, full of knowledge, good laugh and voice of an angel!! Glad we picked green over red!!  What a great tour bus experience! I have made a habit of using tour buses in cities that I visit, but this one is the best by far. The kids , as well as the adults, absolutely loved the Live commentary. So funny, informative and helpful. We had a 48hour ticket, so had the pleasure to hear many different Drivers/guides, Bill, Sean, John and Jay, all Amazing! (Hope I got all the names and right) Thank you! The bus was on time and the bus driver was knowledgeable, positive, and friendly. Even if you like to walk everywhere, it's fun to hop on the bus to see the city from a different vantage point. It was an experience in itself. The bus tour was great! It gives you some vouchers, discounts and free entry into a couple of bits so definitely worth checking before you start you visit if you were going to do anything they include anyway! Takes you all round the city so really good if you wanted to look at places a bit further out, you can use it as travel but also have some great commentary on your journey. The tour guides we had were hilarious! It definitely made the journey fun! We got the 48 hour pass as not much more than the 24hr and you can use it as much as you want! Would 100% recommend, so glad we chose this!! Made the trip what it was! We wouldn't have done a couple of the things we did has we not been on this tour! This tour is really good even for natives like me. It's my second time doing it the last time was in 2016. I had my 12yr old son and 5yr old daughter with me. My son found it really interesting and took loads of photos but after about an hour  my daughter said ""this is a bit boring for me""! That's understandable though. We didn't get the full benefit of it we just stayed and did the tour rather than hop on and off which I would recommend doing. It was a very hot day and the driver told me how hot it can get up the top recommending suncream which we had. Really enjoyed this hop on-hop off tour! It was a great way to see the city and learn about the highlights. We had a couple different drivers, but the best by far was Richie! He was great. So friendly, lively and fun!"
13,Dubh Linn Garden,4.875,"the flowers at the garden are stunning. i've been here in different times of the year and i have to say, flowers make a big difference :) the sculptures are also great to see. the park is a real gem hidden in
the historic area. Absolutely gorgeous garden right outside of Dublin Castle--so much so that I enjoyed it more than the castle itself. Definitely was very crowded since the weather was nice, but everyone seems to respect the sense of peace and quiet. Very special spot during sunny days, I loved and recommend. The is a Lovely coffee shop attached to... Very beautiful and detailed gardens....if i am not mistaken there is also a cafe where you can get sth to eat and sit there to relax... the garden is so stunning and well maintained! situated right next to the castle you are able to great some great views! The Dubh Linn Garden in Dublin is a tranquil and historic green space situated behind Dublin Castle, one of the city's most important landmarks. The name ""Dubh Linn"" translates to ""black pool"" in Irish, referring to a dark tidal pool that was once located at the confluence of the River Liffey and the River Poddle, where the garden now lies. This pool is believed to be the origin of Dublin's name.

The garden itself is a serene oasis in the heart of Dublin, offering a peaceful retreat from the bustling city streets. It is beautifully landscaped with lush lawns, manicured flowerbeds, and a variety of trees and shrubs, creating an inviting environment for visitors to relax and enjoy nature. The central lawn is often used for public events and gatherings, contributing to the cultural vibrancy of the area.

One of the key features of Dubh Linn Garden is its intricate Celtic knot design, which can be best appreciated from above. This striking pattern reflects Ireland's rich heritage and adds a unique visual element to the garden. Pathways meander through the garden, inviting visitors to explore and discover its beauty from different angles.

The garden is also home to several sculptures and art installations, enhancing its aesthetic appeal and providing points of interest for art enthusiasts. Among these is the ""Garden of Remembrance"" sculpture, which commemorates the lives lost during Ireland's struggle for independence.

Dubh Linn Garden is easily accessible from Dublin Castle, making it a convenient stop for tourists exploring the city's historical and cultural sites. It serves as a peaceful complement to the castle's grand architecture and storied past, offering a quiet place for reflection amidst the historical grandeur.

Visitors to Dubh Linn Garden can enjoy a leisurely stroll, a quiet moment of contemplation, or a picnic on the lawn, all while surrounded by the garden's natural beauty and historical significance. Its location within the Dublin Castle complex also makes it an ideal spot for those looking to delve deeper into the history of Dublin while enjoying a serene environment.

Overall, Dubh Linn Garden is a hidden gem in Dublin, combining historical importance with natural beauty. It provides a refreshing escape from the urban hustle and bustle, making it a must-visit for both tourists and locals seeking a peaceful and picturesque retreat in the heart of the city. Beautiful little garden.
We can go around there.

The only point that could spoil it are the cranes, visible, located behind it. Super well maintained and beautiful garden with stunning views of the castle."
14,Dublin Castle,4.75,"We spent 1,5 hours there with a self guided tour and enjoyed it! They provide interesting information and historical facts in every room. Also we were surprised to meet a music festival in the castle yard so we enjoyed it too.
Guided tours were all sold out on Saturday midday. Awesome place to visit. The written guide is enough to immerse yourself in the history of this castle and every room is majestic and beautiful. Amazing atmosphere everywhere. Definitely worth a visit to get to know Ireland a bit better and to see some pieces of art. The tour will take you around 1 hour. You can buy the tickets onsite without any problems if you don't go during weekends. A must visit if you are interested in Irish history. We were lucky enough to have a guide with us who was very knowledgeable and able to bring the history alive. The castle area itself is lovely to walk around and there is a cafe, a museum and small bookshop. It is free to enter and there are toilet facilities. If you like art this is your place, each room of the castle has beautiful paintings and small amount of history written on a sign. The castle is very walkable. My family and I only did the self guided tour and we got to see a lot but there were a few perks more if you do the guided tour. It's a cheap get away from the hustle. Dublin Castle is a must-visit historical gem in the heart of the city! This iconic landmark spans over 800 years of Irish history, offering a fascinating glimpse into Ireland's past. The guided tour is absolutely worth it - knowledgeable guides bring the castle's rich history to life with engaging stories and lesser-known facts. From the medieval tower to the opulent State Apartments, every corner exudes historical significance. The beautiful gardens provide a tranquil escape from the busy city. Don't miss the underground excavation site showcasing Viking and medieval Dublin. Whether you're a history buff or just curious, Dublin Castle delivers an enriching, unforgettable experience. A true highlight of any Dublin visit!                 Dublin castle is a nice visit. I visited on a Wednesday and got a free tour to my surprise. Not sure how it happened. The guided tour will take you to places like the life chapel and gunpowder tower which you cannot visit self guided. It was the seat of 750 years of British rule in Ireland. And many historical events took place here. The Irish presidents are sworn to the office here Nice looking structure located at a square, very vibrant and easy walking distance to other areas of the city center. There's free self guided tours inside. A beautiful piece of history here in Dublin.
The castle and palace have multiple rooms that are opulent and beautiful, and tons of artwork to enjoy.
We spent about 1 hour wandering through the castle and enjoying the interesting furniture, decor, art pieces, and history associated with each room.
A guided tour is available for a small increase in ticket price (4 euros), but the self guided tour with the directory is also informative and enjoyable.
There is a nice garden to relax in behind the castle, and entrance to the garden is free."
15,Dublin City,4.75,"Great place hamel available all clothing stores, brands, products pharmacy ice cream, restaurants and bars clean streets spread carda feels reassured and offer help to people so really good Must visit!! Nice Good Several works by world-class painters, as well as some Dubliners, it's worth spending a few hours in the Gallery, and having a coffee on the interior terrace... It is a beautiful and wonderful place Very nice, sociable city More than wonderful"
16,Dublin Discovered Boat Tours,4.5,"We had a great time. We learned 1,000 years of Irish history in 45 minutes. Ryan & Captain Tony were amazing. This is a must when you visit Dublin! I decided to do the tour the day before folowing the canselation of a business meeting. Although the day was gloomy and the temperature was a bit cold the tour guide succeded in chearing up all people on board. It was a very nice experience. The tour was smooth and we viewed the city along the Liffey banks from the river point of view. We were provided with much and good information about the city history and the development of the Docklands area. The guide had a very good sence of houmor and kept balance not being insulting or vulgar. I really enjoyed the tour. The staff was very friendly and the tour was informative as well as funny. It was interesting. However, the tour was just about half an hour instead of 45 min. I hope this was a one-off due to the tide or similar. I do feel like we should have gotten some sort of explanation or an apology though. Our tour was cut short by 1/3... The tour was very interesting. A lot of Irish history in 45min. We had a good laugh with the guide!
Would definitely recommend on a city trip! Had a great time with Gerry and Tony.  It was a fun experience with a beautiful view of the city from the river.  I also appreciate that Caitriona treated me very well via email in regard to scheduling my visit. A great Dublin experience. The boat stories were amazing, the guide was great!
What really impressed me is this: they called us to tell that the place from where the boat was changed, but because we were distracted by the number format we did not answer and did now know that boat left from another place (river level issues). So, when we got to the kiosk and told the lady we do not see any boat, she explained what happened and proposed us to go on the next tour, 1h later, which was also the last one that day. Good place to eat recommendations too! Very easy going, natural, a good customer orientation and diplomacy. All my respects!  you really made a difference! Guide only in English, I didn't understand everything, especially the witticisms that made the passengers laugh. So-so. A translation with headphones, for example, would be a significant minimum for a tourist trip. Not very interesting for small children. Good for adults anyway"
17,Dublin Greeters,5.0,nan
18,Dublin History and Culture Tour,5.0,"Fascinating insights into Irish History and Dublin  - We walked and talked for almost 3 hours with Keith, a proud Dubliner and knowledgeable historian. We definitely recommend his tour, especially at the start of a visit. He took us through Ireland's story from the NorseGaels to the progressive present. We not only learned about the Dublin sites, but also the language, history, culture, politics, struggles and successes of Ireland through the ages. In fact, now we know why an Irish speaker would struggle with the ""th"" in through. Keith explained the enormous influence of the Irish on the culture and language of the rest of the world. Our time with him flew by."
19,Dublin Portal,4.5,"A video link between Dublin and New York that feels like a slice of the future. There's no sound but that makes you have to get more creative if you want to communicate across the Atlantic. It's a well chosen spot for Dublin as the Spire is in the immediate background. Best yet, this screen never turns off so it is on 24/7/365 so basically an infinite live stream. I visited the portal today, and it worked. There is a line on the ground - if you stay behind it, people in New York will see you completely. If you come too close to the portal, only the top of your head will be visible (so we were told by a friendly guy who seemed to be something like an overseer). It's a fun activity.  Very cool, it shows us what technology can do nowadays, the people on the other side were very nice. 10/10 if you're visiting you should go. Spectacular place, and very good for connecting people across the world. Very well built. Make sure you stand in the visible area when you communicate with New York. It's not how it's built, it's the people on the other side that make it special. Cool idea, but in practice, it's a large free face time which give the opportunity to some who do not know how to behave in public to do their nonsense It's a nice idea to connect people around the world, but for me it actually felt a bit boring because the people in New York seemed to do not care at all about the portal.  It's a video conference from Dublin to New York. We cannot communicate with them by gestures, not by words, they cannot hear us Very exciting idea behind it, even if many non-tech-believers don't consider it serious, or some people don't respect it. It has a future in it. I consider it very interesting and also important for Ireland. This advancing country."
20,Dublin Tour Guide,5.0,"One of the best tours ever.  Ciaran is a true student of history and could put the sites in the context of events of the time.  His knowledge of Irish history was matched only by his charm and easy demeanor.  Just a great day and I can highly recommend Ciaran to anyone that wants to understand what makes Ireland Ireland. We had a lovely time with Leonor. She gave us a great overview of Irish history, James Joyce and Dublin in general and adapted the tour perfectly to our wishes. The tour with Leonor really added something special to our stay in Dublin. We would definitely recommend! There aren't enough words to describe how incredible this tour company is. Ultimate Day in Dublin! James Joyce, General post office,  book of Kells and old library at trinity college, national gallery (where we saw works by Keating, Van Gogh, Picasso, and Monet), first Irish fish and chips at Lincoln Inn, dublin castle,  Irish cheeses from a cheese monger to pair with beers at the oak!! Ended the evening at an Irish pub with live music of course. Garvan was an amazing guide and made us feel truly special. We did the new Irish History Museum Tour with John Caffrey when we were in Dublin.  I have used Dublin Tour Guide before on previous trips to Dublin.  This tour was fantastic.  John's knowledge of Irish History and art was extensive with respect to significant historical events that shaped Ireland.  I highly recommend Dublin Tour Guide and this tour when you are in Dublin. This was a great find. I can't recommend this tour highly enough. We went on the pub crawl tour with our amazing and knowledgeable tour guide Brendan (not O'Leary) who walked us through the pubs of Dublin. I would go again tomorrow if I knew Brendan would be the one giving the tour.
Four very different pubs that showcase all the best that Dublin has to offer. My wife and I took a tour of Dublin with Garvan. He was extremely knowledgeable and easy to talk to. Garvan took us to major locations/sites such as Trinity College and The Book of Kells but also gave us multiple options along the way so it felt like our needs were being catered to. We had never been to Dublin before so this was a fantastic way to learn about the rich history and culture. We highly recommend this tour. In August 2019, we took what turned out to be truly the trip of a lifetime and packed our bags, headed for England, 'Scotland,  Wales, and especially to Ireland.  We were on a Grand European Tours, with only a day and half in Dublin.  My husband insisted, for my sake, that we book a Dublin walking tour,  so we started looking for recommendations. Dublin Tour Guide, particularly Garvan Rusche, was recommended, and what a wonderful decision! Garvan was so passionate about Irish history, and was willing to work with us, listening to what we wanted to see and making it happen! Seeing The Book of Kells was the highlight of the trip,  as well as just walking around the city, soaking up Garvan's knowledge and his take on life in Ireland!  Dublin Tour guide - super highly recommended. Great tour for our student. It made Dublin even more interesting and beautiful. Great humour, nice locations and good time. Recommended"
